elevation_deg,max_ground_stations,uniform_coverage,uniform_visibility_upper_bound,raster_coverage,raster_visibility_upper_bound,absolute_delta,relative_multiplier
0.0,5,0.3520833333333333,0.909375,0.7380660789280648,0.999512925543591,0.38598274559473145,2.0962823543519002
0.0,10,0.5677083333333334,0.909375,0.9423725249530048,0.999512925543591,0.37466419161967146,1.6599589430364854
0.0,15,0.7166666666666667,0.909375,0.9909546239926724,0.999512925543591,0.27428795732600575,1.3827273823153567
0.0,20,0.8145833333333333,0.909375,0.998668318649546,0.999512925543591,0.18408498531621265,1.2259866827411305
0.0,30,0.8979166666666667,0.909375,0.9995129220325968,0.999512925543591,0.10159625536593009,1.1131466417068363
10.0,5,0.1916666666666666,0.7927083333333333,0.5369554464302856,0.9973487620485708,0.345288779763619,2.801506677027578
10.0,10,0.3166666666666666,0.7927083333333333,0.7225856862788,0.9973487620485708,0.40591901961213345,2.2818495356172637
10.0,15,0.4072916666666666,0.7927083333333333,0.8516263385191224,0.9973487620485708,0.4443346718524558,2.0909495779497638
10.0,20,0.48125,0.7927083333333333,0.9157995737185944,0.9973487620485708,0.43454957371859443,1.9029601531814948
10.0,30,0.5958333333333333,0.7927083333333333,0.98401959404674,0.9973487620485708,0.3881862607134067,1.6515014165819413
25.0,5,0.0739583333333333,0.596875,0.2830263134583587,0.8838032918837403,0.20906798012502542,3.826834660845415
25.0,10,0.128125,0.596875,0.4399315578937636,0.8838032918837403,0.3118065578937636,3.433612159170838
25.0,15,0.1708333333333333,0.596875,0.5412316945420199,0.8838032918837403,0.37039836120868663,3.1681855290264584
25.0,20,0.209375,0.596875,0.6144402468318668,0.8838032918837403,0.40506524683186684,2.9346399848686175
25.0,30,0.2729166666666666,0.596875,0.7150038349477225,0.8838032918837403,0.4420871682810559,2.6198613799611215
