site_index,site_id,latitude_deg,longitude_deg,left_selected,right_selected,comparison_status,source
3,grid-00003,-24.0,148.0,True,False,uniform_only,unknown
9,grid-00009,44.0,20.0,False,True,raster_only,unknown
16,grid-00016,20.0,-12.0,True,False,uniform_only,unknown
17,grid-00017,-44.0,112.0,True,False,uniform_only,unknown
23,grid-00023,40.0,136.0,False,True,raster_only,unknown
24,grid-00024,52.0,-128.0,True,False,uniform_only,unknown
27,grid-00027,28.0,92.0,False,True,raster_only,unknown
28,grid-00028,44.0,-52.0,True,False,uniform_only,unknown
34,grid-00034,40.0,-164.0,True,False,uniform_only,unknown
38,grid-00038,-24.0,28.0,False,True,raster_only,unknown
43,grid-00043,-44.0,152.0,True,False,uniform_only,unknown
47,grid-00047,36.0,112.0,False,True,raster_only,unknown
48,grid-00048,52.0,-96.0,True,False,uniform_only,unknown
51,grid-00051,36.0,-4.0,False,True,raster_only,unknown
54,grid-00054,4.0,0.0,False,True,raster_only,unknown
63,grid-00063,-24.0,-16.0,True,False,uniform_only,unknown
65,grid-00065,56.0,36.0,False,True,raster_only,unknown
69,grid-00069,44.0,-76.0,False,True,raster_only,unknown
78,grid-00078,40.0,-140.0,True,False,uniform_only,unknown
85,grid-00085,56.0,-64.0,True,False,uniform_only,unknown
89,grid-00089,20.0,180.0,True,False,uniform_only,unknown
92,grid-00092,8.0,12.0,False,True,raster_only,unknown
97,grid-00097,-12.0,32.0,False,True,raster_only,unknown
101,grid-00101,-44.0,132.0,True,False,uniform_only,unknown
105,grid-00105,28.0,-52.0,True,False,uniform_only,unknown
114,grid-00114,48.0,4.0,False,True,raster_only,unknown
121,grid-00121,48.0,-112.0,True,False,uniform_only,unknown
125,grid-00125,-28.0,40.0,True,False,uniform_only,unknown
128,grid-00128,32.0,80.0,False,True,raster_only,unknown
132,grid-00132,52.0,56.0,True,False,uniform_only,unknown
134,grid-00134,32.0,128.0,False,True,raster_only,unknown
136,grid-00136,-32.0,140.0,True,False,uniform_only,unknown
137,grid-00137,44.0,-12.0,True,False,uniform_only,unknown
152,grid-00152,56.0,-80.0,True,False,uniform_only,unknown
156,grid-00156,-4.0,36.0,False,True,raster_only,unknown
160,grid-00160,8.0,108.0,False,True,raster_only,unknown
172,grid-00172,12.0,-8.0,False,True,raster_only,unknown
175,grid-00175,28.0,108.0,False,True,raster_only,unknown
177,grid-00177,40.0,32.0,False,True,raster_only,unknown
180,grid-00180,16.0,124.0,False,True,raster_only,unknown
