elevation_deg,max_ground_stations,status,achieved_coverage,covered_demand,total_demand,selected_site_count,assignment_count,objective_value,runtime_seconds,visible_arc_count,row_visibility_upper_bound,demand_visibility_upper_bound,selected_sites
0.0,5,Optimal,0.7380660789280648,708.5434357709422,960.0,5,149,708.5434299572242,0.8263396660331637,6424,0.909375,0.999512925543591,"9,97,106,110,128"
0.0,10,Optimal,0.9423725249530047,904.6776239548846,960.0,10,315,904.6776122654958,0.28668950009159744,6424,0.909375,0.999512925543591,"10,15,51,54,96,97,112,128,194,198"
0.0,15,Optimal,0.9909546239926724,951.3164390329655,960.0,15,414,951.3164218633524,0.4086727078538388,6424,0.909375,0.999512925543591,"10,15,22,36,43,54,57,86,91,97,128,132,191,194,198"
0.0,20,Optimal,0.9986683186495459,958.721585903564,960.0,20,530,958.7215632184738,2.1512737500015646,6424,0.909375,0.999512925543591,"9,22,25,31,36,38,43,54,66,69,76,86,90,91,96,127,176,180,181,198"
0.0,30,Optimal,0.9995129220325969,959.532405151293,960.0,30,602,959.5323720285897,1.74414695892483,6424,0.909375,0.999512925543591,"8,25,29,38,40,41,43,49,51,55,64,66,69,70,75,80,84,86,87,90,93,95,96,127,134,138,142,166,170,183"
10.0,5,Optimal,0.5369554464302856,515.4772285730742,960.0,5,65,515.4772233342079,0.11556095909327269,2500,0.7927083333333333,0.9973487620485707,"54,96,114,128,175"
10.0,10,Optimal,0.7225856862788,693.6822588276481,960.0,10,159,693.6822482346545,0.4463487919420004,2500,0.7927083333333333,0.9973487620485707,"9,69,80,92,128,137,156,171,172,194"
10.0,15,Optimal,0.8516263385191224,817.5612849783575,960.0,15,248,817.5612690615256,0.6756647080183029,2500,0.7927083333333333,0.9973487620485707,"10,23,38,69,92,96,114,119,127,128,156,171,172,175,198"
10.0,20,Optimal,0.9157995737185944,879.1675907698507,960.0,20,270,879.1675697933448,0.443648291984573,2500,0.7927083333333333,0.9973487620485707,"23,38,47,51,60,65,69,80,91,92,108,119,128,158,172,173,178,180,191,198"
10.0,30,Optimal,0.9840195940467401,944.6588102848705,960.0,30,367,944.6587789565002,0.39432229194790125,2500,0.7927083333333333,0.9973487620485707,"20,23,38,51,57,58,60,65,66,69,72,80,81,88,91,92,119,130,133,150,158,160,166,172,173,178,180,182,191,198"
25.0,5,Optimal,0.28302631345835877,271.70526092002444,960.0,5,17,271.7052558827758,0.04675058298744261,732,0.596875,0.8838032918837403,"47,114,128,134,175"
25.0,10,Optimal,0.4399315578937636,422.33429557801304,960.0,10,40,422.3342854860618,0.04680712497793138,732,0.596875,0.8838032918837403,"9,47,51,65,92,114,128,134,156,175"
25.0,15,Optimal,0.5412316945420199,519.5824267603391,960.0,15,62,519.5824116174505,0.04788637487217784,732,0.596875,0.8838032918837403,"9,27,38,47,51,54,65,92,114,128,134,156,172,175,180"
25.0,20,Optimal,0.6144402468318668,589.8626369585921,960.0,20,82,589.8626167725571,0.04722358286380768,732,0.596875,0.8838032918837403,"9,23,27,38,47,51,54,65,69,92,97,114,128,134,156,160,172,175,177,180"
25.0,30,Optimal,0.7150038349477225,686.4036815498135,960.0,30,144,686.4036512233957,0.04758808412589133,732,0.596875,0.8838032918837403,"9,23,27,38,47,51,54,65,69,91,92,97,106,112,114,121,128,132,133,134,137,156,160,172,175,177,180,181,191,198"
